Genotype,Locality,Temperature,t_min,Survival 
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,0,1
APG4,Punta Arenas,-11,10,1
APG4,Punta Arenas,-11,10,1
APG4,Punta Arenas,-11,10,1
APG4,Punta Arenas,-11,10,1
APG4,Punta Arenas,-11,10,1
APG4,Punta Arenas,-11,10,0
APG4,Punta Arenas,-11,10,0
APG4,Punta Arenas,-11,10,0
APG4,Punta Arenas,-11,10,0
APG4,Punta Arenas,-11,10,0
APG4,Punta Arenas,-11,20,1
APG4,Punta Arenas,-11,20,1
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,20,0
APG4,Punta Arenas,-11,30,1
APG4,Punta Arenas,-11,30,1
APG4,Punta Arenas,-11,30,1
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,30,0
APG4,Punta Arenas,-11,40,1
APG4,Punta Arenas,-11,40,1
APG4,Punta Arenas,-11,40,1
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,40,0
APG4,Punta Arenas,-11,50,1
APG4,Punta Arenas,-11,50,1
APG4,Punta Arenas,-11,50,1
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,50,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-11,60,0
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,0,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,10,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,1
APG4,Punta Arenas,-10,20,0
